,longitude,latitude,name
0,-8839070.75541,5412164.7368,30086788
1,-8838179.67517,5409544.22178,14130873
2,-8838055.00736,5409557.94834,14185634
3,-8837959.57427,5409545.9153,14185629
4,-8837927.01555,5409566.479,7929921
5,-8837934.93704,5409609.56924,7929922
6,-8837818.01484,5409612.57945,14245318
7,-8838510.90075,5409508.60881,20233290
8,-8838500.94767,5409513.77086,20233291
9,-8838401.33677,5409455.51646,14230450
10,-8838537.42818,5409658.50631,30032538
11,-8838380.36195,5409448.3287,14130714
12,-8838369.64745,5409452.86316,14230451
13,-8838358.10807,5409457.80983,14230452
14,-8838339.56224,5409466.46499,14130712
15,-8838250.53003,5409524.40875,14130875
16,-8838541.08837,5409671.54394,30032539
17,-8838544.25986,5409682.86035,30032540
18,-8838547.43024,5409694.669,30032541
19,-8838071.49934,5409530.50447,30030953
20,-8838227.35553,5409554.70743,14130874
21,-8838600.64096,5409898.29016,30028607
22,-8838595.80635,5409882.42036,30015437
23,-8838597.56631,5409890.70828,30015436
24,-8838541.44904,5409869.3163,20362130
25,-8838552.56763,5409907.66254,20362129
26,-8838545.54671,5409882.88336,20364734
27,-8838547.59388,5409890.25912,20364733
28,-8838549.63993,5409898.81162,20364732
29,-8839105.13978,5411145.39232,885069
30,-8839097.6925,5411146.33845,885067
31,-8838731.17308,5410112.96202,14230162
32,-8838779.97888,5410499.86912,7930055
33,-8838720.65005,5410117.6014,14230153
34,-8838523.42976,5409947.14108,20364723
35,-8838743.52175,5410188.70604,14122043
36,-8838701.28157,5410124.16822,14230163
37,-8838692.56414,5410127.59238,14230164
38,-8838683.8456,5410131.01808,14230165
39,-8838674.81759,5410133.50545,14230166
40,-8838667.0319,5410136.62042,14230167
41,-8838771.55979,5410229.67022,14122048
42,-8838765.2079,5410231.62229,14122047
43,-8838759.09869,5410233.08673,14122046
44,-8838747.63055,5410225.22922,14122044
45,-8838753.96908,5410234.06046,14122045
46,-8838698.67781,5410219.20226,14122063
47,-8838710.06356,5410241.44265,846547
48,-8838628.04114,5410163.18313,806612
49,-8838607.32124,5410176.40298,806611
50,-8838592.82299,5410176.11379,806610
51,-8838526.42537,5410189.98127,806609
52,-8838615.58115,5409810.73971,30015454
53,-8838609.72017,5409813.03318,30015451
54,-8838527.4239,5410203.26115,8491671
55,-8838604.11412,5409815.06976,30015453
56,-8838598.25093,5409818.13079,30015447
57,-8838594.11096,5409842.28682,30015516
58,-8838587.58875,5409849.25953,20097629
59,-8838589.51235,5409857.33361,30015435
60,-8838592.87308,5409869.68393,30015438
61,-8838686.13655,5410407.58422,30033059
62,-8838676.21799,5410410.35471,30033058
63,-8838594.31356,5409875.49377,30015440
64,-8838591.19327,5409863.38648,30015439
65,-8838671.00155,5410423.21956,30033056
66,-8838668.51913,5410412.15298,30033057
67,-8838702.18771,5410462.97412,7930056
68,-8838709.26874,5410498.1462,20145326
69,-8838535.53909,5410331.51998,8491668
70,-8838539.19928,5410364.95328,14069092
71,-8838967.62681,5410782.75052,10223948
72,-8838663.8593,5410749.23879,20121186
73,-8838938.82066,5411242.3353,8031701
74,-8838773.07819,5410822.84045,7930862
75,-8838757.92649,5410838.48727,7930861
76,-8838768.7768,5410892.08138,7930847
77,-8838928.22194,5411247.63986,30036870
78,-8838923.78585,5411246.63064,8031698
79,-8838919.52566,5411249.73214,30036869
80,-8838916.27067,5411248.34754,8031697
81,-8838901.01768,5411257.40745,14076269
82,-8838925.823,5410791.20077,10223923
83,-8839079.61422,5411152.0614,885063
84,-8839075.13472,5411151.35219,885061
85,-8839066.09669,5411155.43672,885059
86,-8838842.74526,5410705.61711,854447
87,-8838844.21802,5410712.22434,854449
88,-8838845.68187,5410719.71152,854450
89,-8838595.03491,5411271.72578,30063436
90,-8838596.48317,5411276.83497,30063437
91,-8838598.17189,5411283.64722,30063441
92,-8839060.5886,5411155.37826,885057
93,-8839050.98618,5411158.80588,885055
94,-8839046.84844,5411159.0628,885054
95,-8838936.47962,5410912.86653,30024137
96,-8839122.44773,5411193.10677,885066
97,-8839116.15929,5411194.39752,885064
98,-8838790.81806,5410714.66725,854453
99,-8838936.99502,5411016.67913,20358305
100,-8838837.84164,5410909.47592,854471
101,-8838839.45577,5410916.22176,854472
102,-8838841.0276,5410922.92606,854473
103,-8838530.84698,5411285.73644,6924938
104,-8839109.49682,5411196.7544,885062
105,-8839100.71594,5411200.35127,885060
106,-8839092.91356,5411202.20355,885058
107,-8839092.14768,5411212.4357,885056
108,-8838788.11968,5410707.04163,854451
109,-8838880.77979,5410834.82132,854459
110,-8838875.54444,5410832.26915,854457
111,-8838881.27183,5410840.98252,854461
112,-8838861.58275,5410958.06451,20145268
113,-8838835.64753,5410903.33929,854470
114,-8838795.69719,5410915.39257,7930846
115,-8838793.18694,5411280.01033,6925080
116,-8838795.30646,5411287.83489,6925081
117,-8839078.904,5411224.20168,885053
118,-8838884.13385,5410847.70369,854463
119,-8838885.89381,5410853.94643,854465
120,-8838887.36991,5410859.69843,854466
121,-8838889.76662,5410869.72252,854467
122,-8838765.06541,5411036.42767,14199154
123,-8838741.45789,5411054.00248,7930879
124,-8838674.96119,5411072.15576,14628425
125,-8838524.07875,5411278.56418,6924937
126,-8838813.15877,5410826.21872,854456
127,-8838827.69376,5410840.70253,854460
128,-8838815.50093,5410833.31217,854458
129,-8838814.78403,5411031.51246,858730
130,-8838833.0972,5410890.2384,854468
131,-8838741.05936,5410539.99167,7930063
132,-8838804.66509,5411029.9079,858729
133,-8838799.20487,5411030.41403,858728
134,-8838791.71196,5411033.38162,858727
135,-8838784.32925,5411035.56463,858726
136,-8838658.89667,5410648.34128,30036201
137,-8838653.30843,5410680.76964,30036198
138,-8838625.83812,5410656.77141,30036200
139,-8838730.75674,5411227.46933,765042
140,-8838735.66148,5411237.97843,765043
141,-8838732.86625,5411257.93667,14194903
142,-8838733.02877,5411258.49513,14194904
143,-8838736.12234,5411269.06734,14194905
144,-8838841.17566,5410699.3114,854446
145,-8839019.22673,5411259.45666,14205116
146,-8839020.53028,5411264.29969,30001970
147,-8838681.46559,5411263.88277,14194906
148,-8838832.58625,5410609.93042,13991643
149,-8838822.33484,5410612.16717,13991642
150,-8838810.16094,5410615.0454,10180178
151,-8838814.29979,5410634.97461,14066032
152,-8838817.4891,5410645.58456,14208512
153,-8838821.63909,5410658.12362,14122314
154,-8838725.07388,5410779.86454,30036199
155,-8839021.9151,5411268.68426,30001972
156,-8839023.49695,5411274.06576,30001976
157,-8839024.68918,5411277.74419,30002063
158,-8839025.6699,5411282.03493,30001979
159,-8838821.64132,5411979.68848,7848784
160,-8838740.28124,5411880.60687,7853532
161,-8838675.70926,5412036.47099,811166
162,-8838593.96179,5411895.19849,869999
163,-8838590.68232,5411914.14425,870001
164,-8839111.91134,5411401.9256,864449
165,-8839216.66075,5411813.8602,14205117
166,-8839276.4371,5411837.65066,879050
167,-8839266.2458,5411837.21679,879049
168,-8839259.78593,5411839.75538,879048
169,-8839253.98618,5411840.6862,879047
170,-8839249.62802,5411850.45442,20364054
171,-8839247.28029,5411850.03747,7808237
172,-8839142.85927,5411864.09209,7808882
173,-8839108.36136,5411881.0269,7808904
174,-8838925.50797,5411532.5365,10560877
175,-8838923.19363,5411577.93135,5650640
176,-8838719.92424,5411469.14469,20363521
177,-8838721.19551,5411476.7171,20363520
178,-8838979.26415,5411682.51761,14074815
179,-8838741.39777,5411888.46271,7853534
180,-8838743.26015,5411895.43235,7853535
181,-8838640.77052,5411966.7353,14189029
182,-8839565.29002,5412617.1401,6355086
183,-8839117.06432,5411412.1272,864450
184,-8839244.1255,5411852.13143,20364053
185,-8839240.73693,5411853.31765,20364052
186,-8839235.6552,5411854.33155,20364051
187,-8839230.3742,5411854.53618,14205119
188,-8839219.19327,5411858.261,14199489
189,-8839136.80349,5411866.39684,7808868
190,-8839130.77443,5411866.57223,7808890
191,-8839098.10661,5411885.65486,7808907
192,-8839123.25257,5411925.6188,2767342
193,-8839123.26259,5411934.72553,2799475
194,-8839125.09268,5411943.00144,2799477
195,-8839131.63715,5411950.94965,2809290
196,-8838966.62827,5411638.22381,14074810
197,-8838968.36152,5411644.35939,14074809
198,-8838970.11591,5411649.43648,14074811
199,-8838971.33597,5411654.76588,14074808
200,-8838973.57684,5411661.97381,14074812
201,-8838975.53829,5411669.97255,14074814
202,-8838681.95205,5411387.92861,30081054
203,-8838724.74104,5411487.86495,20363519
204,-8838720.7892,5411493.88812,30019160
205,-8838717.46631,5411499.28667,30019161
206,-8838976.0882,5411696.5212,14074816
207,-8838979.30979,5411707.72932,14074817
208,-8838952.57307,5411685.63772,6925236
209,-8838944.83971,5411686.87315,30019259
210,-8838939.19804,5411688.1532,30019262
211,-8838933.21573,5411689.43171,30019260
212,-8838927.40374,5411690.79791,30019261
213,-8838921.93238,5411692.50567,30019258
214,-8838909.20745,5411686.91623,30019257
215,-8838903.90753,5411688.36859,30019264
216,-8838747.46469,5411906.8638,7853537
217,-8839119.16158,5411429.49041,864452
218,-8839195.69929,5411779.70624,7808144
219,-8839196.96834,5411785.77114,7808146
220,-8839097.11253,5411868.6985,7808901
221,-8839065.82507,5411781.03707,793080
222,-8839061.92332,5411792.98687,793081
223,-8839134.2565,5411958.48399,2809291
224,-8839135.71367,5411966.19065,2809292
225,-8839074.21745,5411876.4851,793096
226,-8839085.04104,5411887.90268,7808893
227,-8838805.0536,5411319.08396,6925086
228,-8838977.2604,5411676.64201,14074813
229,-8838950.78862,5411628.52967,5650628
230,-8838943.47382,5411635.81604,5650627
231,-8838933.36156,5411637.83303,5650626
232,-8838853.6479,5411492.67425,7807925
